Symbol,Name,High,"Market Cap, $K",Time
AAPL,"Apple Inc",148.98,776653632,05/05/17
AET,"Aetna Inc",140.85,46693412,05/05/17
AFG,"American Financial Group",100.58,8714329,05/05/17
AMT,"American Tower Corp",128.84,54694540,05/05/17
AMWD,"Amer Woodmark Cp",94.75,1527243,05/05/17
ANET,"Arista Networks Inc",144.94,10414051,05/05/17
ANSS,"Ansys Inc",121.38,10362600,05/05/17
AON,"AON Plc",122.39,32068974,05/05/17
AOS,"Smith [A.O.] Corp",55.38,9585370,05/05/17
APTS,"Preferred Apartment Communities",15.82,428085,05/05/17
ARW,"Arrow Electronics",77.16,6799814,05/05/17
ASML,"Asml Hldg NY Reg",135.92,58403048,05/05/17
ATO,"Atmos Energy Corp",82.37,8651679,05/05/17
ATR,Aptargroup,82.17,5113642,05/05/17
ATSG,"Air Transport",23.37,1369974,05/05/17
ATVI,"Activision Blizzard",54.75,40564676,05/05/17
AVB,"Avalonbay Communities",192.89,26559022,05/05/17
AVY,"Avery Dennison Corp",84.28,7454095,05/05/17
AYX,"Alteryx Inc.",19.39,170100,05/05/17
BFAM,"Bright Horizons Family Solutions Inc",79.46,4749718,05/05/17
BIO,"Bio-Rad Laboratories",224.24,6452581,05/05/17
BKH,"Black Hills Corp",69.36,3700028,05/05/17
BURL,"Burlington Stores Inc",101.63,7134201,05/05/17
CAE,"Cae Inc",15.94,4271973,05/05/17
CEVA,"Ceva Inc",41.6,878016,05/05/17
CNDT,"Conduent Inc",17.76,3602215,05/05/17
COHR,"Coherent Inc",225.26,5527678,05/05/17
COO,"Cooper Companies",206.67,10067447,05/05/17
CSGP,"Costar Group Inc",253.17,8279200,05/05/17
CSX,"CSX Corporation",52.5,48441224,05/05/17
CTLT,"Catalent Inc",34.81,3967480,05/05/17
CUK,"Carnival Plc Ads",63.21,13471547,05/05/17
DPZ,"Domino's Pizza Inc",193.53,9287141,05/05/17
EA,"Electronic Arts Inc",95.87,29513768,05/05/17
EIG,"Employers Holdings Inc",41.95,1317024,05/05/17
ERI,"Eldorado Resorts Cmn",20.15,944200,05/05/17
ESS,"Essex Property Trust",251.97,16424271,05/05/17
EVRI,"Everi Holdings Inc",6.66,440692,05/05/17
EXAS,"Exact Sciences Cor",35.83,3939462,05/05/17
EXPE,"Expedia Inc",141.41,21188958,05/05/17
FBK,"Fb Financial Corp",38.59,909730,05/05/17
FNF,"Fidelity National Financial",41.78,11310096,05/05/17
